Comment,Likes
Indha song na en ammakku deket pandren ❤❤❤❤❤❤❤❤ download video pottukku thanks,0
1:25 2:37,0
Song ❤,0
இது போன்று படம் பார்த்து இல்லை இது போல் படம் இது மாதிரி யாரலும் இனிமேல் எடுக்க முடியாது. நன்றி சார்,1
Very super song,0
❤❤❤❤❤,0
Melt melt melt ❤,1
Ava than da periya velaya pathutu poita 😂😂,0
Earworm,0
💯 watched,1
Negative lady villan of this movie kantara chapter 1 but God winning climax thank you,0
😢😢😢😢😢😢😢😢😢😢😢,0
Good god movie of Indian cinema forever world of cinema,0
Such a lovable song,0
Tamil and Malayalam version hits 🎧🎼💯Different feel from my heart 😍🥰❤‍🩹,0
ena kaapathunga ingaiye than irukan 😢😢😢,1
KS Harishankar ❤🎤❤️👌👌,1
Addict the song ❤,0
❤❤❤,0
Recent addicted this song,3
How many times to hear no boring🎉🎉🎉🎉 10 tens a day❤❤❤,3
Iam addicted ❤❤❤❤❤❤,2
Song watch every day  bgm😊,0
பிறந்தநாள் வாழ்த்துக்கள் மலையாள கிறித்தவ திருமகன் . செபாஸ்டின் சைமன் அவர்களே!,0
Wow this is song is getting  favourite ❤🎉,0
Mani Kandan dubbing is ❤awesome ❤,0
Soo good,0
❤favv song✨,0
கடைசியாக ஹீரோயின்  வில்லியானு பாக்கும்போது கஷ்டமாக இருந்தது😢,1
❤️‍🔥❤️‍🔥❤️‍🔥😇,1
Same tune the first and second part of two songs.i feel it,1
1:26,1
So nice love feeling 💕😍,0
Voice of chinmayii ❤,4
Sema song,0
Best movie + songs year 2025,0
Loop mode is on 😌💎,1
Indian cinema 🎥 😍,0
Nice song❤,1
0.43 - 0.46 Is that Calling bell sound? am i the only one hearing this? 😅,2
❤,0
Music hit my mind 😇 lyrics hit my heart ❤️ kantara hit wordwide 🎉❤....🙏🙏🙏,1
"Fantastic song like singara siriye, Ajaneesh is something else man",3
loop mode 3 days ❤❤❤🎉🎉,1
Oru mathi mind la odditu eruku nice song 😊😊😊🫠🫠🫠,6
Tamil la awesome ha irukku ❤male voice melting me 😌,17
one of my favourite lovable song and the portion of thurumbenay illaithu ival illaipara awesome part of this  whole song😇🥰😍❣,0
24/7 on loop❤,3
Next time please change the heroine..she looks like old lady,1
Theatre experience is awesome😊,1
I love this song ❤😍,1
❤,0
❤❤❤❤❤❤❤❤❤❤❤❤❤,1
எனக்கு மிகவும் பிடித்த பாடல்  படம் இது தான்❤❤❤❤❤,1
❤,1
"Whole song

Those who don't know - 😍🥰😘
Those who know - 💀☠️👹",2
Male voise yaru solla mutiyuma,1
"வேங்குழலில் இழைந்தாயடி என் காதையே 
மென் மயங்கி கிடந்தேனடி என் போதையே 
வேலென்றருத்திடும் விழிகள் 
இரண்டில் நீ தாக்கினாய்
உந்தன் மார்பை இறுக்கிடும் துணியால் 
என்னை நீ கைதாக்கினாய்
உலகே பொய்யடி, கனவே மெய்யடி 
அதில் வாழ்வோமே பூங்கோதையே! ஹோ.....
தீயின்றெரியும் காடொன்றில், 
கீச்சா கிளிகள் உறவாட 
நீண்டே விடியும் விசும்பென்றே  
தீண்டா ஏக்கம் விரிந்தாட
வேங்குழலில் இழைந்தாயடி என் காதையே.. 
மென் மயங்கி கிடந்தேனடி என் போதையே...
துரும்பென இளைத்திவள் உருமாற 
விருந்தாக எனை பரிமாற 
கருங்கனி சுவை இதில் உயிர் ஊர 

துறந்தேனே நானும் வெறியேர

நீ இன்னும் இன்னும் இன்னும் வேண்டுமே 

என எனதிதழ் உனதுடல் தீண்டுமே
உன இடை அணியெத பூண்டுமே 
நீ இறங்கிட இருதயம் தூண்டுமே
இறங்காதேறேனோ உயிராய் மாறேனோ 
வலி தாங்காயோ பூங்கோதையே! ஹோ.....
தீயின்றெரியும் காடொன்றில், 
கீச்சா கிளிகள் உறவாட 
நீண்டே விடியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட
வேலென்றருத்திடும் விழிகள் 
இரண்டில் நீ தாக்கினாய்
உந்தன் மார்பை இறுக்கிடும் துணியால் 
என்னை நீ கைதாக்கினாய்
உலகே பொய்யடி, கனவே மெய்யடி 
அதில் வாழ்வோமே பூங்கோதையே! ஹோ.....
சினிமா ரசிகர்களுக்கு நாளை செம ட்ரீட் தான்..",1
I like this song very much,1
Matha languages la  indha song keta but nama tamil la indha song keka song honey la dip paninadhu pola ituku ❤,2
❤❤❤,1
சூப்பர் song My favourite lovely song ❤❤❤❤❤❤❤❤,2
"இது போன்ற படமும் , பாடல்களும் அதன் வரிகளும் தமிழ் சினிமாவில் காணல் நீராகி போனதே...😢",187
❤,0
Watched four times so far in a theatre near my house! ❤️ Kantara 😊,2
"🙋‍♂️யாரும் இல்லை 2026..?? 
🔥🔥
இந்த பாடல் எனக்கு மிகவும் பிடிக்கும் ❤️❤️",1
0:16 music 🫠💗✨,1
"No much hype , no travel for promotion, no major stars from other industry  for regional reach, no big name actors. Only Pure visual, bgm , song and content❤",2
1.46 to 1.53 voice 🫠🫠,0
Both Malayalam and Tamil 😭❤️‍🩹,0
"Lovely 🌹😍🎉❤️💝💕🩷💟🥳 i can't explain in a word 
The BGM ❤❤❤❤❤❤❤",0
Tamil Version hits different ❤️,4
Great Musician❤,1
0:15 apdiye .....🤯😩😫😵😵‍💫😇,0
Oru alaya ava kalaya ava 😂😂 intha paata keluga da,0
Super heart touch ❤song and my ringtone addict song melt voice one❤❤❤🎉🎉🎉🎉,0
Vera level songs varigal vera level ❤❤❤,0
Rishep shetty 🧲Manikandan voice 🤯 🔥🔥,1
Music+male voice ❤,1
Beautiful song ❤❤❤❤❤,0
Beautiful meaningful lines in Tamil after PS😍❤ Composition and voice 😍❤️❤️❤️lovely... captivating ..both visual and listening ❤❤❤loved it😍❤️,2
"தீம் தனன தீம், தீம் தனன தீம்

ததரி தரி தநி 

ததரி ததரி ததரி தா.....

வேங்குழலில் இழைந்தாயடி என் காதையே 

மென் மயங்கி கிடந்தேனடி என் போதையே 

வேலென்றருத்திடும் விழிகள் 

இரண்டில் நீ தாக்கினாய்

உந்தன் மார்பை இறுக்கிடும் துணியால் 

என்னை நீ கைதாக்கினாய்

உலகே பொய்யடி, கனவே மெய்யடி 

அதில் வாழ்வோமே பூங்கோதையே! ஹோ.....

தீயின்றெரியும் காடொன்றில், 

கீச்சா கிளிகள் உறவாட 

நீண்டே விடியும் விசும்பென்றே  

தீண்டா ஏக்கம் விரிந்தாட

வேங்குழலில் இழைந்தாயடி என் காதையே.. 

மென் மயங்கி கிடந்தேனடி என் போதையே...

துரும்பென இளைத்திவள் உருமாற 

விருந்தாக எனை பரிமாற 


கருங்கனி சுவை இதில் உயிர் ஊர 

துறந்தேனே நானும் வெறியேர

நீ இன்னும் இன்னும் இன்னும் வேண்டுமே 

என எனதிதழ் உனதுடல் தீண்டுமே

 

உன இடை அணியெத பூண்டுமே 

நீ இறங்கிட இருதயம் தூண்டுமே

இறங்காதேறேனோ உயிராய் மாறேனோ 

வலி தாங்காயோ பூங்கோதையே! ஹோ.....

தீயின்றெரியும் காடொன்றில், 

கீச்சா கிளிகள் உறவாட 

நீண்டே விடியும் விசும்பென்றே

தீண்டா ஏக்கம் விரிந்தாட

வேலென்றருத்திடும் விழிகள் 

இரண்டில் நீ தாக்கினாய்

உந்தன் மார்பை இறுக்கிடும் துணியால் 

என்னை நீ கைதாக்கினாய்

உலகே பொய்யடி, கனவே மெய்யடி 

அதில் வாழ்வோமே பூங்கோதையே! ஹோ",1
❤😍💥,0
A visually appealing piece of work but tbh this script is a total piece of crap 💩 no disrespect to people who believe in this peculiar god in I suppose....,0
"Masterpiece delivered from the kannada industry to the tamil audience ❤
it's sad that recent times can't hear such songs in Tamil movies",4
Recent addiction.. ❤,0
"mesmerizing voice, music, lyrics and visuals",1
Coll song❤😮😊🫠🫠🎉,0
Last la dhan twist!😊,0
I bet this song is going to go viral with anyone having a bike ! Awesome !!!,2
I am very addictive to this song,2
Madhan karki❤,1
அந்த இதய துடிப்பு ...wow! In the library Maestros provides personal time for us,1
❤❤❤❤❤❤❤❤❤❤❤,0
Really awesome❤❤❤,1
"Use lyricists like this. Nowadays they only wrote just a hero elevation song, written like what their fans need. Cinema always needs poetic songs like this. Just giving songs which are trending in insta before release of the film is needed to stop. Strong lyrics and music hold the songs.",0
This year 2times of watch in theatre this flim🎉🎉❤,0
Subscribed🎉,0
2.11 is magic potion ❤❤,0
❤❤❤ 0:29,2
Tamil audience 🙋,2
Addict this song,0
Lyrics tamil la potruntha nalla irukum,0
Indha song oru madhiri pannidhu mandaikulla...idhella innum konjam naal la ennala keka mudiyathu nu nenaikumbodhu dha kastama irukku.....indha movie la vara mathiri ennaiyum oru ponnu yemathita.....avalachum nalla irukkattum.,0
Super sang,1
Bgm vera level❤,0
❤❤❤❤❤❤,0
It remains கண்ணீரே கண்ணீரே song from uyire,0
1:26  portion ✨💫,1
Adiboli song,0
Theatre la intha song paakum pothu chumma apdi irunthuchi ❤kitta thatta addict aagiten intha song ku😍😘❤️🥰💓💕♥️,1
Dedicate this song for my future girl ❤,0
"Madhan karky sir you nailed it, this is one of your best...",18
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0
Chinmayi made this dozen times better than kannada version....,3
2:48 the walk though🤌😍,4
Chinmayi🎉🎉,2
Karky - ன் கைவண்ணம்❤ (Lyrics)🔥🔥🔥,23
Listening for past 10days so good😊😊,7
those who experienced this song in a good sounded theater🤯💖💘😭,2
Pa enna song 🎵 ❤❤,1
last stanza is missing in this version but in theaters the last stanza came check the lyrics they gave,0
Magical songs ❤❤,0
My recent addiction ❤ lovely that song and kanagavathi,0
0:20 amazing,0
Theaterla kettapo ennaiya  thoalachi nane rasicha  song ithu.❤❤❤❤❤❤❤,1
2:11 ❤️,0
Beautiful song❤❤❤❤❤,0
"தீம் தனன தீம், தீம் தனன தீம்

தீம் தனன தீம், தீம் தனன தீம்

ததரி தரி தநி 

ததரி ததரி ததரி தா.....

வேங்குழலில் இழைந்தாயடி என் காதையே 

மென் மயங்கி கிடந்தேனடி என் போதையே 

வேலென்றருத்திடும் விழிகள் 

இரண்டில் நீ தாக்கினாய்

உந்தன் மார்பை இறுக்கிடும் துணியால் 

என்னை நீ கைதாக்கினாய்

உலகே பொய்யடி, கனவே மெய்யடி 

அதில் வாழ்வோமே பூங்கோதையே! ஹோ.....

தீயின்றெரியும் காடொன்றில், 

கீச்சா கிளிகள் உறவாட 

நீண்டே விடியும் விசும்பென்றே  

தீண்டா ஏக்கம் விரிந்தாட

வேங்குழலில் இழைந்தாயடி என் காதையே.. 

மென் மயங்கி கிடந்தேனடி என் போதையே...

துரும்பென இளைத்திவள் உருமாற 

விருந்தாக எனை பரிமாற 


கருங்கனி சுவை இதில் உயிர் ஊர 

துறந்தேனே நானும் வெறியேர

நீ இன்னும் இன்னும் இன்னும் வேண்டுமே 

என எனதிதழ் உனதுடல் தீண்டுமே

 

உன இடை அணியெத பூண்டுமே 

நீ இறங்கிட இருதயம் தூண்டுமே

இறங்காதேறேனோ உயிராய் மாறேனோ 

வலி தாங்காயோ பூங்கோதையே! ஹோ.....

தீயின்றெரியும் காடொன்றில், 

கீச்சா கிளிகள் உறவாட 

நீண்டே விடியும் விசும்பென்றே

தீண்டா ஏக்கம் விரிந்தாட

வேலென்றருத்திடும் விழிகள் 

இரண்டில் நீ தாக்கினாய்

உந்தன் மார்பை இறுக்கிடும் துணியால் 

என்னை நீ கைதாக்கினாய்

உலகே பொய்யடி, கனவே மெய்யடி 

அதில் வாழ்வோமே பூங்கோதையே! ஹோ.....",0
Avalum ❤️✨💙 Nanum,0
Loop songs I'm melting 💙💙💙💙😻🫠,2
மிகவும் அற்புதமான பாடல் தினந்தோறும் 10 முறையாவது கேட்டு விடுவேன் இசையும் பாடல் வரிகளும் அற்புதம்,1
"2 : 42, 2 : 46 she looks dashing",0
Nice song,1
2.14 ayyayo ennaya ipdi iruku,1
Melody o melody ❤❤❤,1
தியேட்டர் experience amazing🎉,1
I am bengali I love this song  ❤,0
So very nice,0
Lyrics Engineer MADAN KARKY MASS❤❤❤,6
❤,0
மீண்டும் பார்க்க தூண்டும் படம்,1
"Listened all the versions, but tamil version is just awesome ❤",9
Fantastic song ❤❤❤❤,0
2:46 💀IYKYK,1
அருமையான பாடல் வரிகள் அருமை வசனம் எழுதினார் 🎉❤,1
From every language Tamil❤❤❤,0
🥲😮‍💨,0
1:42  bass boosted 💥💥,7
This bgm❤❤❤❤❤❤❤❤❤❤,0
"தீம் தனன தீம், தீம் தனன தீம்

தீம் தனன தீம், தீம் தனன தீம்

ததரி தரி தநி 

ததரி ததரி ததரி தா.....

வேங்குழலில் இழைந்தாயடி என் காதையே 

மென் மயங்கி கிடந்தேனடி என் போதையே 

வேலென்றருத்திடும் விழிகள் 

இரண்டில் நீ தாக்கினாய்

உந்தன் மார்பை இறுக்கிடும் துணியால் 

என்னை நீ கைதாக்கினாய்

உலகே பொய்யடி, கனவே மெய்யடி 

அதில் வாழ்வோமே பூங்கோதையே! ஹோ.....

தீயின்றெரியும் காடொன்றில், 

கீச்சா கிளிகள் உறவாட 

நீண்டே விடியும் விசும்பென்றே  

தீண்டா ஏக்கம் விரிந்தாட

வேங்குழலில் இழைந்தாயடி என் காதையே.. 

மென் மயங்கி கிடந்தேனடி என் போதையே...

துரும்பென இளைத்திவள் உருமாற 

விருந்தாக எனை பரிமாற 


கருங்கனி சுவை இதில் உயிர் ஊர 

துறந்தேனே நானும் வெறியேர

நீ இன்னும் இன்னும் இன்னும் வேண்டுமே 

என எனதிதழ் உனதுடல் தீண்டுமே

 

உன இடை அணியெத பூண்டுமே 

நீ இறங்கிட இருதயம் தூண்டுமே

இறங்காதேறேனோ உயிராய் மாறேனோ 

வலி தாங்காயோ பூங்கோதையே! ஹோ.....

தீயின்றெரியும் காடொன்றில், 

கீச்சா கிளிகள் உறவாட 

நீண்டே விடியும் விசும்பென்றே

தீண்டா ஏக்கம் விரிந்தாட

வேலென்றருத்திடும் விழிகள் 

இரண்டில் நீ தாக்கினாய்

உந்தன் மார்பை இறுக்கிடும் துணியால் 

என்னை நீ கைதாக்கினாய்

உலகே பொய்யடி, கனவே மெய்யடி 

அதில் வாழ்வோமே பூங்கோதையே! ஹோ.....",0
1:26 her face while turning around 😂,1
Rukmini classical dance awesome 🎉🎉😊,0
❤❤❤❤❤❤❤,0
❤💖💘💝❣️💕💕💞,0
அருமையான  பாடல்.மீண்டும் மீண்டும் கேட்க  தூண் டுகிறது,0
💗👸😩,0
Suiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,0
Enna voice ...melting....🎉,0
"0:39 what a voice and lyrics!❤❤❤
Added in to my favourite playlist.",10
"Rishab, Rukmani
BGM
Singers Harishankar and Chinmayi... Very Nice
Lighting
Cinematography
Art...
😍",1
Waiting to watch this song here.....it was such a beautiful experience in theatre!!!!!❤❤❤❤ Loving it,0
❤❤,0
Bro literally taught us focus on goals not holes😂 if he was completely seduced ending would have been different,4
Recent fav addict song 😊😊❤❤,4
மூனு நாளா மனப்பாடம் பண்றேன் ஸ்கூல்ல  இப்படி இல்ல,1
நீ இன்னும் இன்னும் இன்னும் இன்னும் வேண்டுமே ..... என எனதிதழ் உனதுடல் தீண்டுமே... what a lyric 👏 2:11  ❤❤🥰😇😇,8
"Thanks for this, finally❤",0
Mehabooba song mathiri thirumba thirumba ketta song,3
அருமையான பாடல்.கேட்டுக்கொண்டே இருக்க தோணும்,0
Vera level song😍,0
0.9x slow la vachu kelunga... Really melting  💞💓💓,1
Indha song ah innum Konjam slow ah vachurkalam... My ever fav song.. Also my ringtone ❤❤❤,1
Mesmerizing ❤️‍🔥,0
Pls upload karma sad song also in tamil,0
Chinmayi ❤,2
Favorite song 💥❤vera level anu,0
Rukmini Vasanth walk at 2:47 is so beautiful 😻. I love her. She is really very pretty 😍,1
tamil and malayalam.......💎,1
"Who are really appreciate this mind blowing voice ....
Share the feel",0
Ajalesh Loknath...You deserve better place in Indian cinema industry🎉❤🔥,1
Melodious Queen Chinmayi ❤,5
Maarbai irukkum thuniyal enai kaithakinai 👌🏻👌🏻👌🏻,0
Malayalam lyrics poli😍😍😍,0
0:05 இப்ப கூட கேட்கும் போது போய் எதாவது தியேட்டர் available film இருக்கானு பாக்கரன்..5 தடவை பார்க்க,0
2:39 டேய் யப்பா பாடனது யாருயா.. இசை யாரு... எத்தனை தடவையா கேட்கரது.. இந்த பாடலும் கர்மா பாடலும்.. நான் கேட்பன்யா போங்கயா.. எத்தனை தடவனாலும்.. இந்த பட பாடல்கள் கேட்டால் வேறு எதோ உலகத்துக்குல போற மாதிரி இருக்கு..என்னா மூலிகைடா 😂,0
என் வாழ்க்கையில தியேட்டர்ல நான்கு முறை பார்த்த ஒரே படம் இது..இந்த பட பாடல் கேட்கும் போது எல்லாம் திரும்பவும் தியேட்டர் போய் பார்க்கனு தோனுது ❤❤❤❤ தீபாவளி எத்தனை படம் வந்தும் இதற்கு போட்டியில்லை,1
❤❤❤❤❤❤ wonderful music and lyrics ..,0
😇♥️♥️,0
0:58 உந்தன் மார்பை இறுக்கிடும் துணியால் என்னை கைதாக்கினாய் - இந்த வரி எழுதிட்டு costume design பண்ணிங்களா இல்லை costume design பண்ணிட்டு பாடல் எழுதினீங்களா இந்த பாட்ட தியேட்டர் ல கேட்டும் போது i melted,197
4.36 sivanukku aarathi kanbikkum katchiyil udal oru murai silirthu adangiyathu. Padathin pala idangalil  udal silirpathai unara mudinthathu. Enna oru thirai padam. Kadinamana ulaippu. Paratta vaarthai illai. Tamil cinimavai ninaithaal vetkamaga ullathu,1
Wow what a song,0
But its malayalam version ohh seen🥹❤️,0
❤,0
Heyy intha song romba nalla iruku oahh,0
❤️🔥😍,0
I love this song ❤❤,0
😩😩😩😩😩🥹🥹🥹🥹🥹😌😌😌,0
❤,0
Pov : theatre experience in this song 🎧😍💥🤌🏻,0
Best music by ajaneesh. So different ❤❤,0
❤❤❤,0
❤,1
Rukku ❤️❤️❤️,0
Since I watched this movie at the theatre. It never stopped running in my mind .❤❤ Violin tune was just awesome.,0
"ஆனா நான் கணிச்சு  விட்டேன் அந்த நகம் வெட்டும் போதும் முடியை வெட்டும் போதும் இந்த அம்மா ஏதோ சூழ்ச்சி பண்ண போது அப்படின்னு 😢😢😢
 அதுபோக அந்த கடைசி வசனம்....  
 வெளிச்சமா இருக்குன்னு மின்மினி பின்னாடி போயிடாதீங்க தொலைஞ்சு போயிடுவீங்க 💯💯💯🙌👍👍👍 தெளிவினும் தெளிவு hero🙏🙏🙏",7
உலகே பொய்யடி....கனவே மெய்யடி....அதில் வாழ்வோமா பூங்கோதையே❤❤❤❤,172
இந்தப் பாடலின் தமிழாசிரியர் யார் என்று கூறவும்....,0
Successful ah Dilwali Evening show paarthachu awesome movie,0
1:22❤,0
Rukku ❤❤😘😘,0
❤❤❤❤❤❤,0
Ponugala nambadinga guys,0
Crazy love song https://youtu.be/3P2eF3snaRo?si=NALrTRdUNoYXlNYF,0
This bgm melding our heart 💥,0
Everyone's favourite song of me ❤❤❤😂,1
இந்த பாடலை அனிருத் கண்ணில் படும் வரை ஷேர் செய்யவும்,21
Recently addicted to this song❤,0
1:26 and 2:40 that girl voice is like heaven in theater 😇,0
0:05 those who watched movie 🌚🌚🌚,0
Nice song❤❤❤❤❤❤,0
Recently addict this song,0
Literally stunning expressions. Rukmini you beauty 😍😍,3
Melting voice kantara fav movie both chapter songs all songs good,0
Recent addiction,0
Dubbed songs X Madhan karky lyrics 🐉🔥,0
Male voice wow❤❤❤,0
இந்த பாடல் வரிகள் கேட்டால் கல்லும் காமமுறும்,0
Nice song .lyrics. Singers🎉 ❤❤..🎉🎉🎉.,0
Today watch... 👀.. 😍↕️,0
Full hindi movie please dabbed ❤❤❤,0
What a song uffff😮👀🎀 use headphones 🥂,1
"1:26 -1:40 
Juzt wow ❣️🎶
Visual treats to eyes as well as ears 💓",1
❤,0
"❤💔😢 Theatre la Rukmini death tha feal panna pavam yaah.
☠️ 😢💔
*Rukmini yaah serai la pootu irukalam.
Illa na kantara alugaah Aadi maiii yaah vachi irukalam 💔💔",0
Awesome lyrics awesome music song super 😍,0
1:25 fav ❤😊,0
This song is just a breath of fresh air ❤❤❤,0
ನಾನೂ ಶಿವಣ್ಣನ ಅಭಿಮಾನಿ ಆದ್ರೆ!!! ಕಮ್ಯುನಿಸ್ಟ್ ಪಕ್ಷ ಹೇಗೂ ಕಾಂಗ್ರೆಸ್ ಪಕ್ಷದ ಅಭ್ಯರ್ಥಿಗಳ ಕಥೆಗಳು ಇರುವ ಈ ಚಿತ್ರ ನಾನು ನೋಡlla! ✍🏻,0
3:06 movie twist,27
Every local temple must implement mandatory Gita classes on Sundays to instill moral and ethical values in students and upcoming generation,1
"அருமையான பாடல் ,ஆனால் இப்படத்தில் பெருமாளை (ராமன்,கோதை, ஆண்டவர் பக்தர்களை) தீயதாக வர்ணிக்க பட்டதை என்னி நான் வருந்துகிறேன்..😢",0
Theatre Experience gives a different vibe 💥🥺💕,7
Nice song in tamil,4
Become my fav on the 1st lyrics and music,1
❤,0
After the intermission the real villain 😂😂,0
இந்த வரிகளை வர்ணித்து இருக்கிறார்கள் வரிகளால் வர்ணிப்பது வேறு வரிகளையே வர்ணித்து அதில் இசை வைரமாய் குரல் மகுடமாய்....மொத்தத்தில் மயக்கம் வரிகள் இசை பாடியவர்கள் என அனைவருக்கும் தலை வணங்குகிறேன்🙏,3
I'm madly addicted to this song❤❤❤❤,0
தமிழ் படம் நிறைய வந்து இருக்கு. இருந்தாலும் நான் நேற்று திரும்பவும் இந்த படம் குடும்பதுடன் சென்று பார்த்தோம். 15 நாள் முன்னாடி இதே படம் பார்த்தேன்.😭😭😭😭 ரொம்ப சந்தோஷமா இருக்கு இந்த படம் எத்தனை முறை பார்த்தாலும்🤗🤗... தமிழ் சினிமாவில் சாமி படம் வந்து 10 வருடம் ஆகி இருக்கும் போல😢😢😢 ஜாதி படங்கள் மட்டும் வருது😢😢😢 அறைத்த மாவை அறைகிறார்கள் 😢😢😢 அதன் ஏக்கம் தான் இந்த படம் 😭😭😭😭😭 மீண்டும் மீண்டும் பார்க்க வேண்டும் என நினைக்கிறேன்,1
I like this song in the Tamil versions more than others...🥰🥰🥰,6
heros writing and singing songs ruined this kind of songs,0
singara siruku vibe song..❤❤,0
Addicted 🥰🥰🥰,0
Loop mode meterial ❤,4
Madhan karky❤,0
Amazing song ❤,0
Tamil movies kuda ivlo azhaga tamil ah lyrics la use panna matranga... Thank you lyrics writer of this song 🙏🏻,7
"இன்னும் இன்னும் இன்னும் வேண்டுமே 

என எனதிதழ் உனதுடல் தீண்டுமே",0
"Kantara(2022) - He semmandha azhage ❤

Kantara chapter 1 - This song❤

Thank you Ajaneesh to make these masterpiece with great singers and lyricist",5
"Literally the same as Ponniyin selvan (costumes, sceneries, etc) 😄",0
❤❤❤melting 🫠 ❤❤Vera level feeling this song❤music super,1
Nice song,1
2:38 mass voice and lyrics,26
திரும்ப திரும்ப கேட்கிறேன் ❤❤,13
வெளிச்சமா இருக்குனு மின்மினி பூச்சி பின்னாடி போகாதிங்க தொலைஞ்சி போயிடுவிங்க,111
Both kantara have the best Love portraits elevation song ever❤,1
Tamil song super❤,0
"Intha song tamil lyrics Avalo azhaga iruku,",4
Mesmerizing🎉❤,0
"தீம் தனன தீம், தீம் தனன தீம்


தீம் தனன தீம், தீம் தனன தீம்

ததரி தரி தநி 

ததரி ததரி ததரி தா.....

வேங்குழலில் இழைந்தாயடி என் காதையே 

மென் மயங்கி கிடந்தேனடி என் போதையே 

வேலென்றருத்திடும் விழிகள் 

இரண்டில் நீ தாக்கினாய்

உந்தன் மார்பை இறுக்கிடும் துணியால் 

என்னை நீ கைதாக்கினாய்

உலகே பொய்யடி, கனவே மெய்யடி 

அதில் வாழ்வோமே பூங்கோதையே! ஹோ.....

தீயின்றெரியும் காடொன்றில், 

கீச்சா கிளிகள் உறவாட 

நீண்டே விடியும் விசும்பென்றே  

தீண்டா ஏக்கம் விரிந்தாட

வேங்குழலில் இழைந்தாயடி என் காதையே.. 

மென் மயங்கி கிடந்தேனடி என் போதையே...

துரும்பென இளைத்திவள் உருமாற 

விருந்தாக எனை பரிமாற 


கருங்கனி சுவை இதில் உயிர் ஊர 

துறந்தேனே நானும் வெறியேர

நீ இன்னும் இன்னும் இன்னும் இன்னும் வேண்டுமே 

என எனதிதழ் உனதுடல் தீண்டுமே

 

உன இடை அணியெத பூண்டுமே 

நீ இறங்கிட இருதயம் தூண்டுமே

இறங்காதேறேனோ உயிராய் மாறேனோ 

வலி தாங்காயோ பூங்கோதையே! ஹோ.....

தீயின்றெரியும் காடொன்றில், 

கீச்சா கிளிகள் உறவாட 

நீண்டே விடியும் விசும்பென்றே

தீண்டா ஏக்கம் விரிந்தாட

வேலென்றருத்திடும் விழிகள் 

இரண்டில் நீ தாக்கினாய்

உந்தன் மார்பை இறுக்கிடும் துணியால் 

என்னை நீ கைதாக்கினாய்

உலகே பொய்யடி, கனவே மெய்யடி 

அதில் வாழ்வோமே பூங்கோதையே! ஹோ.....

இவன் ❤💙 செல்வா ❤️💙",1
Theatre experience of this song was ❤❤❤❤,2
எல்லா மொழிகளிலும் இந்த பாடல் கேட்டாலும் தமிழ் மொழியில் ஆஆஆஆஆஆ மிகச் சிறப்பு❤❤❤❤❤❤,62
Waiting for this song only🎉,0
இந்த பட்டு தியேட்டரில் பார்க்கும் போது மிகவும் அருமையாக இருந்தது..,6
என்  சிவபெருமானுக்கு ஈடு ஏதும் ஏதும்,1
"""All that glitters are not Gold"" proverb proven in this Film",1
"Lord shiva never agitated by any women other than mohini who is vishnu himself,he is such a perfect yogi..,here same they replicated , though kankavathi is so much beautiful berme not fallen for her,but he believed,when everyone is expected chewing after chewing princess and normal man loving and story goes behind,but this is complete masterpiece..""All that glitters are not gold"" perfect example kankavathi",0
❤,1
❤❤❤,2
1:26 chinmayi......🥰🔥,25
2:48 ❤❤,14
Awsome presentation,2
Am I the only one who felt malayalam version is better?,1
Actor Manikandan voice dub was perfect ❤,1
சூப்பர் சாங்  ஐலைக் யூ சாங,1
2.11 ultimate 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,2
Madan karky should be celebrated but namba avaruku support pana matrom !,3
Tamil people giving support to this movie like bahubali .,51
Tamil version lyrics awesome heart melting lines.... Recently addicted ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,3
Eagerly Waiting for this one song 🎶🤌🏻❤️💎...,1
