Comment,Likes
1:25  this lyrics was my favourite 🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉❤🎉,0
This movie was thrilling by experiance❤,0
2:1 ultimet,0
2:55 woww ❤🎉,1
☺️☺️☺️☺️☺️☺️☺️🥰🥰🥰❤️❤️❤️🫀🫀🫀🫀❤️❤️🥰❤️🫀🫀❤️❤️❤️❤️🫀❤️🥰❤️🫀💞💞😭,1
🥰,0
I like it 💜💜💜,1
1:25,0
I love this song,2
❤❤,0
1:20,0
🙌🫂🎤🎥💋💞👏👌💥,0
"வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

வேல் என்றருத்திடும் விழிகள்
இரண்டில் நீ தாக்கினாய்
உந்தன் மார்பை இருக்கிடும் துணியால்
என்னை நீ கைதாக்கினாய்
உலகே பொய்யடி
கனவே மெய்யடி
அதில் வாழ்வோமா பூங்கோதயே!…ஹோ

தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட

வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

துரும்பென இளைத்திவள் உருமாற
விருந்தாக எனை பறிமாற
கருங்கணி சுவையினில் உயிர் ஊற
துரந்தேனே நாணம் வ...

Full lyrics at Bharatlyrics.com: வேங்குழலில் இழைந்தாயடி Vaenguzhalil Ezhaindayadi Lyrics - K S Harisankar, Chinmayi Sripada https://bharatlyrics.com/vaenguzhalil-ezhaindayadi-lyrics/",2
❤❤,0
Super song ❤❤🎉🎉🎉,2
Nice bgm,0
1:13 of these song,9
I love this song very much,0
Super song❤,0
2:11,0
2:12  _நீ இன்னும் இன்னும் இன்னும் வேண்டுமே..._,1
❤❤❤❤❤❤❤,0
Superb 🎉,0
In earphone......just 💥😩💗✨,0
2:11 நீ இன்னும் இன்னும் இன்னும் இன்னும் வேண்டுமே wowwwwwwwwww ❤️🥰என என்னதிதழ் உனதுடல் தீண்டுமே 🥰❤️......,3
1.06,0
O:05❤,0
In that movie,0
The heroine is very crazy no😂,0
3:09,0
❤,1
I saw this at home also 🫠🫠🫠,0
0:17 bgm 🥵🥶🎧,47
ஓம் ஶ்ரீ சாய் ராம் 🙏🙏🙏,0
1:13 ❤️‍🩹😫🌍🎀🥺,2
❤💕🌹,0
How many ❤rukmini crush❤❤❤here🥰😘😘😘,1
OG Madhan karky anna lyrics♥️😇,0
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0
https://youtube.com/shorts/3GmTiHklkb4?si=luHJZMwksuGRuEBJ,0
உன் மார்பை இருக்கும் துணியால். கைதாக்கினால்❤❤❤,1
I love song❤❤,0
Voice melt kekum pothey nenachen chinmayi mam ah than irukkumnu,4
Anyone2026❤,0
Iva than da periya velaiya pathuvittu poita😅😅😅😂😂,3
2026 here ❤❤,0
💙melting,1
My dream songs,0
2:04 voiceuhh❤❤,3
1.03 💥,0
Most underrated song😢...but my favourite ❤❤❤..semma lines💕,0
En son ku just 3 1/2 years old boy but daily 5 times ku mela intha song kapan,6
Am just melted that song ❤oh my god  its so beautiful music an lyrics ❤,4
❤❤❤❤❤❤❤❤,0
wow super song.....👌👌,0
Entha oru song thaaa mind Full ahaaaaaa adhuvum anthaa voice aaaaaagaaaa konuttaaan pongaa 65 time ketta aaanalum bore agalaaaa,3
No words can express how much I love this song❤...What a song...🥹😍,2
2:11 wooooooooow,0
Anyone 2026,0
Wow🧡🔥🧡,1
Super  super song❤❤❤❤❤❤,1
Theater experience ♥️Dolby Atmos 🫡,4
என்ன song டா இது வேற லெவல் ல எழுந்திருக்காங்க ❤❤❤🎉🎉❤️,1
❤❤❤❤❤❤,0
Ippo vantha pudhu padathula enaku romba pidicha song Ithu mattum dha,2
"Malathi seems to be good, but she is too bad I, don't like him",0
Chimayee Akka voice ❤,3
0:37 ❤️🤧,0
Ithuthan Nalla music..inthe anirudh music eppothume same n yerichala irukum,1
Velichama irrukunu minmini pinnadi poidadhinge tholanchupoiduvinge🤔,0
This is my dream song❤💗🩷💞💓💖💝🌸💘❤️‍🔥🫶🌹💐🌸🪷💮,0
❤,0
Chinmyee akka  voice  wow ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,5
❤valli.loveyou.song,1
🎉❤🎉🎉🎉🎉👌,0
Super song,0
My favorite.... ❤,1
2026 ........❤❤❤❤🎉🎉🎉🎉,2
Day by day views ⚡⚡⚡⚡,4
Bgm and Singers are super voice for this song ❤️❤️,4
❤❤❤❤❤❤,0
1:40😍,0
Tamil song is best feeling,1
Anyone from 2026 ❤😂,3
நெடு நாட்கள் கழித்து ஒரு நல்ல திரைப்படம் பார்த்ததில் மகிழ்ச்சி. ❤,11
"Nice lines, ending 👏🤞🫶",0
2:40 sema,2
1:1 Vera level super ❤,1
2026 anyone,0
Anyone 2026,0
any one in 2026✋,1
❤,1
https://youtube.com/shorts/vjBwePEANbc?si=V-qL47GNVRVsRUo9,0
67😊,0
1.23 what a chores score 🎼🎼🎶🎶🎼🎶🎶🎶,1
"Now tamil cinima spoiled by evils vijay and Ajith like commercial stars, when 90's golden period will come? Nowadays I seeing kannada movies and telugu movies",0
"0:59 
Very level",0
"My Chlm fav song ❤
I miss my Chlm😭😭😭
Miss you so much & love you ❤",0
Nice song.. ❤️,0
1:26 oh my God 😮,4
Lyrics vera level....yenakku mattu dhan apdi kettu cha illa adhu apdidhana,2
My heart melt 💖 this songs liycs,0
Myy favv...❤👀💘😫,2
I memory is sabarimalai ❤❤❤❤ ayyappa,3
❤❤❤,0
Really super good song 👍,1
Super movie and songs also🎉😊😊❤,1
❤❤❤❤❤❤,0
Almost 2 months over. But can't overcome from impact of this song😢❤🎉🎉. #19th December,2
Iam a vijay fan but My most favourite movie of all time kanthara 1&2 .,1
More than 5 times mela parthuta vimz bro🤣🤣tan tan tan illa na enna bro tanna na re na re (kgf bgm)Iruku la🤣🤣🤣😆,0
The song that enchanted me has melted away.💓🤗🤗🤗❤,0
Singers awesome selection 🎉🎉🎉,1
Such a cute song ❤,0
1:26 peak 💥🔥,0
👌❤❤❤,0
1:25 the corus and the sword scene 😳👀 make me goosebumps ❤,3
Bgm melted😢🙌🏻🔥,5
1:24 and 2:35 the music and the lady voice is really mesmerising which gives goose bump.🤗🤗🤗,2
Harishankar bro 🫶✨,0
1:27 to 1:39🎉🎉 beautiful,1
1:26❤ melting my heart,0
3:05 💀,1
Thee endru eriyum Kadu ondru 😊,0
"உலகே பொய்யடி 
கனவே மெய்யடி...

Yup it's true... Picked line nice❤",0
❣,0
Beautiful song ever seen😊❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2
Recently addicted this song and   i like herione thirumpa thirumpa paathutu iruka🎉🎉🎉,0
Madana Mana Mohini Remix Dropped!💓,0
I like the song ❤,0
😅😊 we need tamil audio jukebox for kantara 2,1
❤❤❤❤❤❤❤❤❤,0
Day by day I'm addicted to this song❤❤❤,2
"Im furious !! Who is the makeup artist? Makeup artist is the one in duty to make sure all things are well prepared for bride a day before, Anyone in the position to do her hair do",1
Katara🎉 this,0
Extreme level of feeling ❤,1
அழகான தமிழ் வரிகள்❤❤❤,3
Deserved to touch 1000cr this film 🎥 😍,1
Is Vizhiyile Mani Vizhiyile song from Raja sir and this song is same Raagam? I can feel some sounding similarities.,0
my favourite song ❤❤❤❤❤🎉🎉🎉,0
Mujhe hindi samajh m aata h,0
Super song 😍😍,1
Berme nailed,0
0:16😎,0
Beautiful song,0
One of my favorite recently❤,0
Voice ❤❤❤❤,0
"வேங்குழலில் இழைந்தாயடி
என் காதயே!
மென்மயங்கி கிடந்தேனடி
என் போதையே!

வேல் என்றருத்திடும் விழிகள்
இரண்டில் நீ தாக்கினாய்
உந்தன் மார்பை இருக்கிடும் துணியால்
என்னை நீ கைதாக்கினாய்
உலகே பொய்யடி...கனவே மெய்யடி
அதில் வாழ்வோமா பூங்கோதயே!…ஹோ

தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட

வேங்குழலில் இழைந்தாயடி
என் காதயே!...
மென்மயங்கி கிடந்தேனடி
என் போதையே!

துரும்பென இளைத்திவள் உருமாற
விருந்தாக எனை பறிமாற
கருங்கணி சுவையினில் உயிர் ஊற
துரந்தேனே நாணம் வெறியேற

நீ இன்னும் இன்னும் இன்னும் இன்னும் வேண்டுமே
என எனதிதழ் உனதுஉடல் தீண்டுமே...ஏ உனை இடையனி என பூண்டுவேண்
நீ இறங்கிட இருதயம் தூண்டுமே

உறங்காதேரேனோ
உயிராய் மாறேனோ
வலிதாங்காயோ பூங்கோதயே!…ஹோ

தீயென்ரெரியுங் காடொன்றில்
கீச்சாக் கிளிகள் உறவாட
நீண்டே விரியும் விசும்பென்றே
தீண்டா ஏக்கம் விரிந்தாட...",139
❤😂🎉A😢😮😅😊❤😂🎉😢😮😅😊❤😂🎉😢😮😅😊,1
So Emothional 🤧😢😢song Attraktive this Leriks 😢😭😭,1
1.12.2025 yaaru pakkuringa,1
"First time - Not bad 😅
Second time - Ok 🎉
Third time - Superb ❤
Then - Wow nice 😳 
Now - Addicted... 💕🔥🎧",29
1:25 mind blowing 🎭❤️🥹,5
#Muthamazhai chinmayi 💫😍,1
Rukmani now❤ at climax💀,3
Anyone Nov 30 listen the song ?,0
0:20 so gud obsesses with the vocals,2
❤️❤️❤️❤️❤️❤️❤️,1
Latest attited the song 🎵 ♥️,0
neriya movie theatre la paathu iruka but entha movie um marupadiyum pakanum nu thoanala.entha movie mattum paakkanum nu thonudhu marubadiyum🎉❤❤❤,1
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0
Very beautiful songs like,1
Hi,0
